2023-07-25 19:07:299 INFO  HomePage :48 - Click in on menu[[[ChromeDriver: chrome on windows (4379ce786a2de8d0efa6868f827d4f2d)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (4379ce786a2de8d0efa6868f827d4f2d)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (4379ce786a2de8d0efa6868f827d4f2d)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (4379ce786a2de8d0efa6868f827d4f2d)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (4379ce786a2de8d0efa6868f827d4f2d)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (4379ce786a2de8d0efa6868f827d4f2d)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (4379ce786a2de8d0efa6868f827d4f2d)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2023-07-25 19:07:908 INFO  HomePage :48 - Click in on menu[[[ChromeDriver: chrome on windows (5ecbfc1f07320853a299e77d6f1bc656)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (5ecbfc1f07320853a299e77d6f1bc656)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (5ecbfc1f07320853a299e77d6f1bc656)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (5ecbfc1f07320853a299e77d6f1bc656)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (5ecbfc1f07320853a299e77d6f1bc656)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (5ecbfc1f07320853a299e77d6f1bc656)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (5ecbfc1f07320853a299e77d6f1bc656)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2023-07-25 19:07:712 INFO  ComputerPage :29 - Click in on desktop[[ChromeDriver: chrome on windows (5ecbfc1f07320853a299e77d6f1bc656)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Desktops']]
2023-07-25 19:07:142 INFO  HomePage :48 - Click in on menu[[[ChromeDriver: chrome on windows (a51b13fcd04ebbd44751484ef0a1a2e1)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a51b13fcd04ebbd44751484ef0a1a2e1)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a51b13fcd04ebbd44751484ef0a1a2e1)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a51b13fcd04ebbd44751484ef0a1a2e1)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a51b13fcd04ebbd44751484ef0a1a2e1)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a51b13fcd04ebbd44751484ef0a1a2e1)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a51b13fcd04ebbd44751484ef0a1a2e1)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2023-07-25 19:07:806 INFO  ComputerPage :29 - Click in on desktop[[ChromeDriver: chrome on windows (a51b13fcd04ebbd44751484ef0a1a2e1)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Desktops']]
2023-07-25 19:07:63 INFO  BuildYourOwnComputerPage :43 - Click on build your onw comupter:[[ChromeDriver: chrome on windows (a51b13fcd04ebbd44751484ef0a1a2e1)] -> xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']]
2023-07-25 19:07:574 INFO  BuildYourOwnComputerPage :48 - Select Process:[[ChromeDriver: chrome on windows (a51b13fcd04ebbd44751484ef0a1a2e1)] -> xpath: //select[@id='product_attribute_1']]
2023-07-25 19:07:859 INFO  BuildYourOwnComputerPage :52 - Select Ram:[[ChromeDriver: chrome on windows (a51b13fcd04ebbd44751484ef0a1a2e1)] -> xpath: //select[@id='product_attribute_2']]
2023-07-25 19:07:71 INFO  BuildYourOwnComputerPage :57 - Select HDD:[[ChromeDriver: chrome on windows (a51b13fcd04ebbd44751484ef0a1a2e1)] -> xpath: //input[@name='product_attribute_3']]
2023-07-25 19:07:222 INFO  BuildYourOwnComputerPage :61 - Select OS:[[ChromeDriver: chrome on windows (a51b13fcd04ebbd44751484ef0a1a2e1)] -> xpath: //input[@name='product_attribute_4']]
2023-07-25 19:07:342 INFO  BuildYourOwnComputerPage :65 - Click on total Commander:[[ChromeDriver: chrome on windows (a51b13fcd04ebbd44751484ef0a1a2e1)] -> xpath: //input[@name='product_attribute_5']]
